frame_idx,timestamp_ms,detected,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,confidence,area,contour_area,distance_px,heatmap_ready,is_paused,kalman_corrected,kalman_predicted,pause_count,pause_duration_s,size_mean,speed_px_s,total_pause_time_s
136,4533.33,1,190,390,120,313,160,209,0.6050,20230.00,20230.0,1029.0547038108018,1.0,0.0,1.0,1.0,0.0,0.0,30492,97.78803607804008,0.0
137,4566.67,1,190,392,120,313,159,207,0.6105,20092.00,20092.0,1031.0547038108018,1.0,0.0,1.0,1.0,0.0,0.0,30492,77.21722605740278,0.0
138,4600.00,1,189,394,118,313,160,209,0.6043,20207.50,20207.5,1033.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,67.08203932499393,0.0
139,4633.33,1,189,395,118,313,160,209,0.6043,20207.00,20207.0,1034.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,54.60082416960372,0.0
140,4666.67,1,188,395,118,313,158,209,0.6072,20050.50,20050.5,1035.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,40.38873605350865,0.0
141,4700.00,1,188,395,118,313,160,209,0.6269,20962.00,20962.0,1035.2907717883015,1.0,1.0,1.0,1.0,0.0,0.0,30492,27.041634565979834,0.0
142,4733.33,1,188,395,118,313,158,207,0.6459,21125.50,21125.5,1035.2907717883015,1.0,1.0,1.0,1.0,0.0,0.033333333333333215,30492,10.606601717798181,0.0
143,4766.67,1,188,394,118,313,164,207,0.6262,21259.50,21259.5,1036.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,10.60660171779825,0.0
144,4800.00,1,188,394,118,313,172,207,0.5946,21170.00,21170.0,1036.2907717883015,1.0,1.0,1.0,1.0,0.0,0.0,30492,7.500000000000027,0.0
145,4833.33,1,188,394,118,313,185,199,0.5795,21332.50,21332.5,1036.2907717883015,1.0,1.0,1.0,1.0,0.0,0.033333333333333215,30492,7.500000000000027,0.0
146,4866.67,1,188,394,117,312,187,210,0.5554,21812.00,21812.0,1036.2907717883015,1.0,1.0,1.0,1.0,0.0,0.06666666666666643,30492,7.500000000000027,0.0
147,4900.00,1,188,394,118,313,186,209,0.5428,21101.00,21101.0,1036.2907717883015,1.0,1.0,1.0,1.0,0.0,0.10000000000000053,30492,0.0,0.0
148,4933.33,1,190,394,120,312,184,203,0.5752,21485.00,21485.0,1038.2907717883015,1.0,0.0,1.0,1.0,0.0,0.0,30492,14.999999999999954,0.0
